id,first_name,last_name,web_name,position,team,expected_goals,expected_assists,news
83.0,Marcus,Tavernier,Tavernier,3.0,3.0,2.02,0.64,
84.0,Mark,Travers,Travers,1.0,3.0,0.0,0.0,
85.0,Illia,Zabarnyi,Zabarnyi,2.0,3.0,0.19,0.04,
152.0,Kepa,Arrizabalaga,Arrizabalaga,1.0,3.0,0.0,0.0,
580.0,Dean,Huijsen,Huijsen,2.0,3.0,0.0,0.01,
592.0,Julián,Araujo Zúñiga,J.Araujo,2.0,3.0,0.0,0.02,
599.0,Will,Dennis,Dennis,1.0,3.0,0.0,0.0,
617.0,Francisco Evanilson,de Lima Barbosa,Evanilson,4.0,3.0,1.86,0.15,
86.0,Kristoffer,Ajer,Ajer,2.0,4.0,0.28,0.03,
87.0,Ethan,Brierley,Brierley,3.0,4.0,0.0,0.0,
88.0,Nathan,Collins,Collins,2.0,4.0,0.53,0.01,
89.0,Mikkel,Damsgaard,Damsgaard,3.0,4.0,0.23,0.37,
90.0,Josh,Dasilva,Dasilva,3.0,4.0,0.0,0.0,Knee injury - Unknown return date
91.0,Mark,Flekken,Flekken,1.0,4.0,0.0,0.01,
92.0,Rico,Henry,Henry,2.0,4.0,0.0,0.0,Lack of match fitness - Expected back 28 Sep
93.0,Aaron,Hickey,Hickey,2.0,4.0,0.0,0.0,Hamstring injury - Unknown return date
94.0,Vitaly,Janelt,Janelt,3.0,4.0,0.07,0.19,
95.0,Mathias,Jensen,Jensen,3.0,4.0,0.1,0.46,Calf injury - Expected back 28 Sep
96.0,Kim,Ji-soo,Ji-soo,2.0,4.0,0.0,0.0,
97.0,Yunus Emre,Konak,Konak,3.0,4.0,0.0,0.0,
98.0,Keane,Lewis-Potter,Lewis-Potter,3.0,4.0,0.08,0.06,
99.0,Bryan,Mbeumo,Mbeumo,3.0,4.0,1.12,1.26,
100.0,Ben,Mee,Mee,2.0,4.0,0.0,0.0,
101.0,Christian,Nørgaard,Nørgaard,3.0,4.0,0.37,0.07,
102.0,Frank,Onyeka,Onyeka,3.0,4.0,0.0,0.02,Loaned to FC Augsburg
103.0,Myles,Peart-Harris,Peart-Harris,3.0,4.0,0.0,0.0,Loaned to Swansea City
